         0 <= x <   30; y =    81.0000 +     0.6000x; interpolation
        30 <= x <   60; y =    81.0000 +    -0.6000x; interpolation
        60 <= x <   90; y =    44.0000 +     0.6333x; interpolation
        90 <= x <  120; y =   108.0000 +    -0.4333x; interpolation
       120 <= x <  150; y =    33.0000 +     0.4000x; interpolation
       150 <= x <  180; y =    93.0000 +    -0.1000x; interpolation
       180 <= x <  210; y =    48.0000 +     0.2000x; interpolation
       210 <= x <  240; y =   126.0000 +    -0.2333x; interpolation
       240 <= x <  270; y =    49.0000 +     0.1333x; interpolation
       270 <= x <  300; y =    97.0000 +    -0.0667x; interpolation
       300 <= x <  330; y =   178.0000 +    -0.3667x; interpolation
       330 <= x <  360; y =   -82.0000 +     0.5000x; interpolation
       360 <= x <  390; y =   259.0000 +    -0.5333x; interpolation
       390 <= x <  420; y =    67.0000 +     0.0000x; interpolation
       420 <= x <  450; y =  -141.0000 +     0.5333x; interpolation
       450 <= x <  480; y =    83.0000 +     0.0000x; interpolation
       480 <= x <  510; y =   323.0000 +    -0.5333x; interpolation
       510 <= x <  540; y =    67.0000 +     0.0000x; interpolation
       540 <= x <  570; y =  -205.0000 +     0.5333x; interpolation
       570 <= x <  600; y =   389.0000 +    -0.5667x; interpolation
       600 <= x <  630; y =    28.0000 +     0.0667x; interpolation
       630 <= x <  660; y =   108.0000 +    -0.0667x; interpolation
       660 <= x <  690; y =  -354.0000 +     0.6667x; interpolation
       690 <= x <  720; y =   196.0000 +    -0.1667x; interpolation
       720 <= x <  750; y =   380.0000 +    -0.4333x; interpolation
       750 <= x <  780; y =  -316.0000 +     0.5333x; interpolation
       780 <= x <  810; y =    84.0000 +     0.0000x; interpolation
       810 <= x <  840; y =   110.0000 +    -0.0333x; interpolation
       840 <= x <  870; y =    83.0000 +     0.0000x; interpolation
       870 <= x <  900; y =   139.0000 +    -0.0667x; interpolation
       900 <= x <  930; y =   -64.0000 +     0.1667x; interpolation
       930 <= x <  960; y =   176.0000 +    -0.1000x; interpolation
       960 <= x <  990; y =    52.0000 +     0.0333x; interpolation
       990 <= x < 1020; y =   116.0000 +    -0.0333x; interpolation
      1020 <= x < 1050; y =   611.0000 +    -0.5333x; interpolation
      1050 <= x < 1080; y =   135.0000 +    -0.0667x; interpolation
      1080 <= x < 1110; y =  -565.0000 +     0.6000x; interpolation
      1110 <= x < 1140; y =   155.0000 +    -0.0667x; interpolation
      1140 <= x < 1170; y =    44.0000 +     0.0333x; interpolation
      1170 <= x < 1200; y =    82.0000 +     0.0000x; interpolation
      1200 <= x < 1230; y =   199.0000 +    -0.1000x; interpolation
      1230 <= x < 1260; y =  -121.0000 +     0.1667x; interpolation
      1260 <= x < 1290; y =   125.0000 +    -0.0333x; interpolation
      1290 <= x < 1320; y =   125.0000 +    -0.0333x; interpolation
      1320 <= x < 1350; y =   727.0000 +    -0.5000x; interpolation
      1350 <= x < 1380; y =   111.0000 +    -0.0333x; interpolation
      1380 <= x < 1410; y =   -24.0000 +     0.0667x; interpolation
      1410 <= x < 1440; y =  -392.0000 +     0.3333x; interpolation
      1440 <= x < 1470; y =  -204.0000 +     0.2000x; interpolation
      1470 <= x < 1500; y =   228.0000 +    -0.1000x; interpolation
      1500 <= x < 1530; y =  1110.0000 +    -0.7000x; interpolation
      1530 <= x < 1560; y =  -140.0000 +     0.1333x; interpolation
      1560 <= x < 1590; y =  -854.0000 +     0.6000x; interpolation
      1590 <= x < 1620; y =    82.0000 +     0.0000x; interpolation
      1620 <= x < 1650; y =    29.0000 +     0.0333x; interpolation
      1650 <= x < 1680; y =  1055.0000 +    -0.6000x; interpolation
      1680 <= x < 1710; y =  -870.0000 +     0.5667x; interpolation
      1710 <= x < 1740; y =   978.0000 +    -0.5333x; interpolation
      1740 <= x < 1770; y =   -48.0000 +     0.0667x; interpolation
      1770 <= x < 1800; y =   126.0000 +    -0.0333x; interpolation
      1800 <= x < 1830; y =  -877.0000 +     0.5333x; interpolation
      1830 <= x < 1860; y =  1343.0000 +    -0.7000x; interpolation
      1860 <= x < 1890; y =  -243.0000 +     0.1667x; interpolation
      1890 <= x < 1920; y =  -925.0000 +     0.5333x; interpolation
      1920 <= x < 1950; y =   965.0000 +    -0.4667x; interpolation
      1950 <= x < 1980; y =   261.0000 +    -0.1000x; interpolation
      1980 <= x < 2010; y =   -64.0000 +     0.0667x; interpolation
      2010 <= x < 2040; y =   134.0000 +    -0.0333x; interpolation
      2040 <= x < 2070; y =     0.0000 +     0.0333x; interpolation
      2070 <= x < 2100; y =  -952.0000 +     0.5000x; interpolation
      2100 <= x < 2130; y =   359.0000 +    -0.1333x; interpolation
      2130 <= x < 2160; y =  3649.0000 +    -1.7000x; interpolation
      2160 <= x < 2190; y =   170.0000 +    -0.0667x; interpolation
      2190 <= x < 2220; y = -3862.0000 +     1.8000x; interpolation
      2220 <= x < 2250; y =  1029.0000 +    -0.4333x; interpolation
      2250 <= x < 2280; y =  -821.0000 +     0.4000x; interpolation
      2280 <= x < 2310; y =   904.0000 +    -0.3667x; interpolation
      2310 <= x < 2340; y =  -996.0000 +     0.4667x; interpolation
      2340 <= x < 2370; y =     5.0000 +     0.0333x; interpolation
      2370 <= x < 2400; y =  1409.0000 +    -0.5667x; interpolation
      2400 <= x < 2430; y = -1356.0000 +     0.6000x; interpolation
      2430 <= x < 2460; y =   244.0000 +    -0.0667x; interpolation
      2460 <= x < 2490; y =  1135.0000 +    -0.4333x; interpolation
      2490 <= x < 2520; y =   315.0000 +    -0.1000x; interpolation
      2520 <= x < 2550; y =  -183.0000 +     0.1000x; interpolation
      2550 <= x < 2580; y = -1191.0000 +     0.5000x; interpolation
      2580 <= x < 2610; y =   254.0000 +    -0.0667x; interpolation
      2610 <= x < 2640; y =  1372.0000 +    -0.5000x; interpolation
      2640 <= x < 2670; y =   -20.0000 +     0.0333x; interpolation
      2670 <= x < 2700; y = -1252.0000 +     0.5000x; interpolation
      2700 <= x < 2730; y =   261.0000 +    -0.0667x; interpolation
      2730 <= x < 2760; y =    -9.0000 +     0.0333x; interpolation
      2760 <= x < 2790; y =   355.0000 +    -0.1000x; interpolation
      2790 <= x < 2820; y =  1183.0000 +    -0.4000x; interpolation
      2820 <= x < 2850; y =   -26.0000 +     0.0333x; interpolation
      2850 <= x < 2880; y = -1154.0000 +     0.4333x; interpolation
      2880 <= x < 2910; y =  1221.0000 +    -0.4000x; interpolation
      2910 <= x < 2940; y = -1371.0000 +     0.5000x; interpolation
      2940 <= x < 2970; y =   957.0000 +    -0.3000x; interpolation
      2970 <= x < 3000; y =  -709.0000 +     0.2667x; interpolation
      3000 <= x < 3030; y =   281.0000 +    -0.0667x; interpolation
      3030 <= x < 3060; y =   -19.0000 +     0.0333x; interpolation
      3060 <= x < 3090; y =    82.0000 +     0.0000x; interpolation
      3090 <= x < 3120; y =  -326.0000 +     0.1333x; interpolation
      3120 <= x < 3150; y =   292.0000 +    -0.0667x; interpolation
      3150 <= x < 3180; y =  1852.0000 +    -0.5667x; interpolation
      3180 <= x < 3210; y = -1403.0000 +     0.4667x; interpolation
      3210 <= x < 3240; y =  1777.0000 +    -0.5333x; interpolation
      3240 <= x < 3270; y =  -363.0000 +     0.1333x; interpolation
      3270 <= x < 3300; y = -1443.0000 +     0.4667x; interpolation
      3300 <= x < 3330; y =   737.0000 +    -0.2000x; interpolation
      3330 <= x < 3360; y =  -473.0000 +     0.1667x; interpolation
      3360 <= x < 3390; y =   -29.0000 +     0.0333x; interpolation
      3390 <= x < 3420; y =   -29.0000 +     0.0333x; interpolation
      3420 <= x < 3450; y =   197.0000 +    -0.0333x; interpolation
      3450 <= x < 3480; y =   -31.0000 +     0.0333x; interpolation
      3480 <= x < 3510; y =  1809.0000 +    -0.5000x; interpolation
      3510 <= x < 3540; y = -1555.0000 +     0.4667x; interpolation
      3540 <= x < 3570; y =   317.0000 +    -0.0667x; interpolation
      3570 <= x < 3600; y =  -155.0000 +     0.0667x; interpolation
      3600 <= x < 3630; y =   321.0000 +    -0.0667x; interpolation
      3630 <= x < 3660; y =  -399.0000 +     0.1333x; interpolation
      3660 <= x < 3690; y =   690.0000 +    -0.1667x; interpolation
      3690 <= x < 3720; y =  -408.0000 +     0.1333x; interpolation
      3720 <= x < 3750; y =   330.0000 +    -0.0667x; interpolation
      3750 <= x < 3780; y =  1942.0000 +    -0.5000x; interpolation
      3780 <= x < 3810; y = -2058.0000 +     0.5667x; interpolation
      3810 <= x < 3840; y =   210.0000 +    -0.0333x; interpolation
      3840 <= x < 3870; y =   337.0000 +    -0.0667x; interpolation
      3870 <= x < 3900; y =  2001.0000 +    -0.5000x; interpolation
      3900 <= x < 3930; y =  -321.0000 +     0.1000x; interpolation
      3930 <= x < 3960; y = -1751.0000 +     0.4667x; interpolation
      3960 <= x < 3990; y =   345.0000 +    -0.0667x; interpolation
