         0 <= x <   30; y =    80.0000 +     0.6333x; interpolation
        30 <= x <   60; y =    80.0000 +    -0.6000x; interpolation
        60 <= x <   90; y =    41.0000 +     0.7000x; interpolation
        90 <= x <  120; y =   113.0000 +    -0.5000x; interpolation
       120 <= x <  150; y =    26.0000 +     0.4667x; interpolation
       150 <= x <  180; y =   106.0000 +    -0.2000x; interpolation
       180 <= x <  210; y =    41.0000 +     0.2333x; interpolation
       210 <= x <  240; y =   137.0000 +    -0.3000x; interpolation
       240 <= x <  270; y =    11.0000 +     0.3000x; interpolation
       270 <= x <  300; y =   131.0000 +    -0.2000x; interpolation
       300 <= x <  330; y =   185.0000 +    -0.4000x; interpolation
       330 <= x <  360; y =   -65.0000 +     0.4333x; interpolation
       360 <= x <  390; y =   210.0000 +    -0.4000x; interpolation
       390 <= x <  420; y =    78.0000 +    -0.0333x; interpolation
       420 <= x <  450; y =  -195.0000 +     0.6667x; interpolation
       450 <= x <  480; y =    85.0000 +     0.0000x; interpolation
       480 <= x <  510; y =   370.0000 +    -0.6333x; interpolation
       510 <= x <  540; y =   146.0000 +    -0.1667x; interpolation
       540 <= x <  570; y =  -330.0000 +     0.7667x; interpolation
       570 <= x <  600; y =   426.0000 +    -0.6333x; interpolation
       600 <= x <  630; y =    46.0000 +     0.0333x; interpolation
       630 <= x <  660; y =    86.0000 +    -0.0333x; interpolation
       660 <= x <  690; y =  -355.0000 +     0.6667x; interpolation
       690 <= x <  720; y =    85.0000 +     0.0000x; interpolation
       720 <= x <  750; y =   522.0000 +    -0.6333x; interpolation
       750 <= x <  780; y =  -414.0000 +     0.6667x; interpolation
       780 <= x <  810; y =    86.0000 +     0.0000x; interpolation
       810 <= x <  840; y =   164.0000 +    -0.1000x; interpolation
       840 <= x <  870; y =     2.0000 +     0.1000x; interpolation
       870 <= x <  900; y =    86.0000 +     0.0000x; interpolation
       900 <= x <  930; y =    57.0000 +     0.0333x; interpolation
       930 <= x <  960; y =   117.0000 +    -0.0333x; interpolation
       960 <= x <  990; y =   241.0000 +    -0.1667x; interpolation
       990 <= x < 1020; y =   -47.0000 +     0.1333x; interpolation
      1020 <= x < 1050; y =   712.0000 +    -0.6333x; interpolation
      1050 <= x < 1080; y =   100.0000 +    -0.0333x; interpolation
      1080 <= x < 1110; y =  -600.0000 +     0.6333x; interpolation
      1110 <= x < 1140; y =    84.0000 +     0.0000x; interpolation
      1140 <= x < 1170; y =   158.0000 +    -0.0667x; interpolation
      1170 <= x < 1200; y =   120.0000 +    -0.0333x; interpolation
      1200 <= x < 1230; y =     3.0000 +     0.0667x; interpolation
      1230 <= x < 1260; y =    43.0000 +     0.0333x; interpolation
      1260 <= x < 1290; y =   -39.0000 +     0.1000x; interpolation
      1290 <= x < 1320; y =   297.0000 +    -0.1667x; interpolation
      1320 <= x < 1350; y =   985.0000 +    -0.7000x; interpolation
