      2880 <= x < 2910; y =  1601.0000 +    -0.5333x; interpolation
      2910 <= x < 2940; y = -1471.0000 +     0.5333x; interpolation
      2940 <= x < 2970; y =   760.0000 +    -0.2333x; interpolation
      2970 <= x < 3000; y =   662.0000 +    -0.2000x; interpolation
      3000 <= x < 3030; y = -1021.0000 +     0.3667x; interpolation
      3030 <= x < 3060; y =    79.0000 +     0.0000x; interpolation
      3060 <= x < 3090; y =    79.0000 +     0.0000x; interpolation
      3090 <= x < 3120; y =  -125.0000 +     0.0667x; interpolation
      3120 <= x < 3150; y =    81.0000 +     0.0000x; interpolation
      3150 <= x < 3180; y =  1953.0000 +    -0.6000x; interpolation
      3180 <= x < 3210; y = -1407.0000 +     0.4667x; interpolation
      3210 <= x < 3240; y =  1561.0000 +    -0.4667x; interpolation
      3240 <= x < 3270; y =   -44.0000 +     0.0333x; interpolation
      3270 <= x < 3300; y = -1556.0000 +     0.5000x; interpolation
      3300 <= x < 3330; y =   297.0000 +    -0.0667x; interpolation
      3330 <= x < 3360; y =  -583.0000 +     0.2000x; interpolation
      3360 <= x < 3390; y =   527.0000 +    -0.1333x; interpolation
      3390 <= x < 3420; y =  -145.0000 +     0.0667x; interpolation
      3420 <= x < 3450; y =   -32.0000 +     0.0333x; interpolation
      3450 <= x < 3480; y =   310.0000 +    -0.0667x; interpolation
      3480 <= x < 3510; y =  1805.0000 +    -0.5000x; interpolation
      3510 <= x < 3540; y = -1559.0000 +     0.4667x; interpolation
      3540 <= x < 3570; y =   313.0000 +    -0.0667x; interpolation
      3570 <= x < 3600; y =  -277.0000 +     0.1000x; interpolation
      3600 <= x < 3630; y =   318.0000 +    -0.0667x; interpolation
      3630 <= x < 3660; y =  -522.0000 +     0.1667x; interpolation
      3660 <= x < 3690; y =   688.0000 +    -0.1667x; interpolation
      3690 <= x < 3720; y =  -410.0000 +     0.1333x; interpolation
      3720 <= x < 3750; y =   697.0000 +    -0.1667x; interpolation
      3750 <= x < 3780; y =  1813.0000 +    -0.4667x; interpolation
      3780 <= x < 3810; y = -2312.0000 +     0.6333x; interpolation
      3810 <= x < 3840; y =   208.0000 +    -0.0333x; interpolation
      3840 <= x < 3870; y =   970.0000 +    -0.2333x; interpolation
      3870 <= x < 3900; y =  1482.0000 +    -0.3667x; interpolation
      3900 <= x < 3930; y =  -195.0000 +     0.0667x; interpolation
      3930 <= x < 3960; y = -1755.0000 +     0.4667x; interpolation
      3960 <= x < 3990; y =   210.0000 +    -0.0333x; interpolation
      3990 <= x < 4020; y =  2058.0000 +    -0.5000x; interpolation
      4020 <= x < 4050; y =  -203.0000 +     0.0667x; interpolation
      4050 <= x < 4080; y = -1811.0000 +     0.4667x; interpolation
      4080 <= x < 4110; y =  1159.0000 +    -0.2667x; interpolation
      4110 <= x < 4140; y =  1295.0000 +    -0.3000x; interpolation
      4140 <= x < 4170; y = -2541.0000 +     0.6333x; interpolation
      4170 <= x < 4200; y =    81.0000 +     0.0000x; interpolation
      4200 <= x < 4230; y =  3556.0000 +    -0.8333x; interpolation
      4230 <= x < 4260; y = -3444.0000 +     0.8333x; interpolation
      4260 <= x < 4290; y =   222.0000 +    -0.0333x; interpolation
      4290 <= x < 4320; y =  2636.0000 +    -0.6000x; interpolation
      4320 <= x < 4350; y =  -224.0000 +     0.0667x; interpolation
      4350 <= x < 4380; y = -2096.0000 +     0.5000x; interpolation
      4380 <= x < 4410; y =  2834.0000 +    -0.6333x; interpolation
      4410 <= x < 4440; y =  5316.0000 +    -1.2000x; interpolation
      4440 <= x < 4470; y = -6003.0000 +     1.3667x; interpolation
      4470 <= x < 4500; y =   509.0000 +    -0.1000x; interpolation
      4500 <= x < 4530; y = -2024.0000 +     0.4667x; interpolation
      4530 <= x < 4560; y =  -374.0000 +     0.1000x; interpolation
      4560 <= x < 4590; y =   683.0000 +    -0.1333x; interpolation
      4590 <= x < 4620; y =  -533.0000 +     0.1333x; interpolation
      4620 <= x < 4650; y =   538.0000 +    -0.1000x; interpolation
      4650 <= x < 4680; y =  -386.0000 +     0.1000x; interpolation
      4680 <= x < 4710; y =   389.0000 +    -0.0667x; interpolation
      4710 <= x < 4740; y =  -235.0000 +     0.0667x; interpolation
      4740 <= x < 4770; y =    79.0000 +     0.0000x; interpolation
      4770 <= x < 4800; y =  2607.0000 +    -0.5333x; interpolation
      4800 <= x < 4830; y = -2799.0000 +     0.6000x; interpolation
      4830 <= x < 4860; y =  3121.0000 +    -0.6333x; interpolation
      4860 <= x < 4890; y = -2836.0000 +     0.6000x; interpolation
